"Field","ID","Type (Type)","default","en-us","ar-sa","bg-bg","zh-cn","zh-tw","hr-hr","cs-cz","da-dk","nl-nl","fi-fi","fr-fr","de-de","el-gr","he-il","hu-hu","id-id","it-it","ja-jp","ko-kr","lv-lv","lt-lt","ms-my","nb-no","fa-ir","pl-pl","pt-br","pt-pt","ro-ro","ru-ru","sr-latn-rs","sk-sk","sl-si","es-es","sv-se","th-th","tr-tr","uk-ua","vi-vn"
"MobileScreenshotCaption9","258","Text","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MobileScreenshotCaption10","259","Text","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"XboxScreenshot1","300","Relative path (or URL to file in Partner Center)","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"XboxScreenshot2","301","Relative path (or URL to file in Partner Center)","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"XboxScreenshot3","302","Relative path (or URL to file in Partner Center)","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"XboxScreenshot4","303","Relative path (or URL to file in Partner Center)","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"XboxScreenshot5","304","Relative path (or URL to file in Partner Center)","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"XboxScreenshot6","305","Relative path (or URL to file in Partner Center)","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"XboxScreenshot7","306","Relative path (or URL to file in Partner Center)","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"XboxScreenshot8","307","Relative path (or URL to file in Partner Center)","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"XboxScreenshot9","308","Relative path (or URL to file in Partner Center)","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"XboxScreenshot10","309","Relative path (or URL to file in Partner Center)","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"XboxScreenshotCaption1","350","Text","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"XboxScreenshotCaption2","351","Text","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"XboxScreenshotCaption3","352","Text","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"XboxScreenshotCaption4","353","Text","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"XboxScreenshotCaption5","354","Text","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"XboxScreenshotCaption6","355","Text","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"XboxScreenshotCaption7","356","Text","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"XboxScreenshotCaption8","357","Text","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"XboxScreenshotCaption9","358","Text","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"XboxScreenshotCaption10","359","Text","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HolographicScreenshot1","400","Relative path (or URL to file in Partner Center)","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HolographicScreenshot2","401","Relative path (or URL to file in Partner Center)","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HolographicScreenshot3","402","Relative path (or URL to file in Partner Center)","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HolographicScreenshot4","403","Relative path (or URL to file in Partner Center)","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HolographicScreenshot5","404","Relative path (or URL to file in Partner Center)","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HolographicScreenshot6","405","Relative path (or URL to file in Partner Center)","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HolographicScreenshot7","406","Relative path (or URL to file in Partner Center)","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HolographicScreenshot8","407","Relative path (or URL to file in Partner Center)","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HolographicScreenshot9","408","Relative path (or URL to file in Partner Center)","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HolographicScreenshot10","409","Relative path (or URL to file in Partner Center)","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HolographicScreenshotCaption1","450","Text","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HolographicScreenshotCaption2","451","Text","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HolographicScreenshotCaption3","452","Text","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HolographicScreenshotCaption4","453","Text","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HolographicScreenshotCaption5","454","Text","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HolographicScreenshotCaption6","455","Text","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HolographicScreenshotCaption7","456","Text","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HolographicScreenshotCaption8","457","Text","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HolographicScreenshotCaption9","458","Text","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HolographicScreenshotCaption10","459","Text","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"StoreLogo720x1080","600","Relative path (or URL to file in Partner Center)","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"StoreLogo1080x1080","601","Relative path (or URL to file in Partner Center)","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"StoreLogo300x300","602","Relative path (or URL to file in Partner Center)","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OverrideLogosForWin10","603","True/False","FALSE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"StoreLogoOverride150x150","604","Relative path (or URL to file in Partner Center)","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"StoreLogoOverride71x71","605","Relative path (or URL to file in Partner Center)","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PromoImage1920x1080","606","Relative path (or URL to file in Partner Center)","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PromoImage2400x1200","607","Relative path (or URL to file in Partner Center)","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"XboxBrandedKeyArt584x800","608","Relative path (or URL to file in Partner Center)","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"XboxTitledHero1920x1080","609","Relative path (or URL to file in Partner Center)","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"XboxFeaturedPromo1080x1080","610","Relative path (or URL to file in Partner Center)","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OptionalPromo358x358","611","Relative path (or URL to file in Partner Center)","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OptionalPromo1000x800","612","Relative path (or URL to file in Partner Center)","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OptionalPromo414x180","613","Relative path (or URL to file in Partner Center)","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Feature1","700","Text","","Format USB, flash card and virtual drives to FAT/FAT32/NTFS/UDF/exFAT/ReFS/ext2/ext3","????? USB ?????? ?????? ??????? ??????? ?????????? ??? FAT / FAT32 / NTFS / UDF / exFAT / ReFS / ext2 / ext3","??????????? ?? USB, ????? ????? ? ????????? ?????????? ? FAT/FAT32/NTFS/UDF/exFAT/ReFS/ext2/ext3","? U ??????????????? FAT/FAT32/NTFS/UDF/exFAT/ReFS/ext2/ext3 ??","?????????????????? FAT/FAT32/NTFS/UDF/exFAT/ReFS/ext2/ext3 ??","Formatirajte USB, flash karticu i virtualne pogone na FAT/FAT32/NTFS/UDF/exFAT/ReFS/ext2/ext3","Formátování USB, flash karet a virtuálních jednotek na FAT/FAT32/NTFS/UDF/exFAT/ReFS/ext2/ext3","Formater USB, flash kort og virtuelle drev til FAT/FAT32/NTFS/UDF/exFAT/ReFS/ext2/ext3","USB, flashkaart en virtuele schijven formatteren naar FAT/FAT32/NTFS/UDF/exFAT/ReFS/ext2/ext3","Alusta USB-asemia, muistikortteja ja virtuaalisia asemia muotoon FAT/FAT32/NTFS/UDF/exFAT/ReFS/ext2/ext3","Formatez des périphériques USB, des cartes flash et des disques virtuels en FAT/FAT32/NTFS/UDF/exFAT/ReFS/ext2/ext3","Formatieren von USB, Flash-Karte und virtuellen Laufwerken in FAT/FAT32/NTFS/UDF/exFAT/ReFS/ext2/ext3","???f?p???s? USB, ???ta? flash ?a? e???????? µ???d?? d?s??? se FAT/FAT32/NTFS/UDF/exFAT/ReFS/ext2/ext3","????? USB, ?????? ?????? ??????? ?????????? ??FAT/FAT32/NTFS/UDF/exFAT/ReFS/ext2/ext3","USB, flash memóriakártyák és virtuális meghajtók formázása FAT/FAT32/NTFS/UDF/exFAT/ReFS/ext2/ext3 fájlrendszerre","Format USB, kartu flash dan penyimpanan maya ke FAT/FAT32/NTFS/UDF/exFAT/ReFS/ext2/ext3","Formatta USB, flash card e unità virtuali in FAT/FAT32/NTFS/UDF/exFAT/ReFS/ext2/ext3","USB????SD???????????FAT/FAT32/NTFS/UDF/exFAT/ReFS/ext2/ext3???????????","USB, ??? ?? ? ?? ????? FAT/FAT32/NTFS/UDF/exFAT/ReFS/ext2/ext3? ??","Formate USB, atminas kartes un virtualos diskus formatos FAT/FAT32/NTFS/UDF/exFAT/ReFS/ext2/ext3","Suformatuokite USB, flash kortele ir virtualius diskus i FAT32/NTFS/UDF/exFAT/ReFS/ext2/ext3","Formatkan USB, kad flash dan pemacu maya kepada FAT/FAT32/NTFS/UDF/exFAT/ReFS/ext2/ext3","Formater USB, minnekort og virtuelle disker til FAT/FAT32/NTFS/UDF/exFAT/ReFS/ext2/ext3","???? USB? ??? ???? ? ???????? ????? ?? FAT/FAT32/NTFS/UDF/exFAT/ReFS/ext2/ext3","Sformatuj nosnik uzywajac: FAT/FAT32/NTFS/UDF/exFAT/ReFS/ext2/ext3","Formatar dispositivos USB, cartões flash e discos virtuais com FAT/FAT32/NTFS/UDF/exFAT/ReFS/ext2/ext3","Formatar dispositivos USB, cartão de memória e unidades virtuais em FAT/FAT32/NTFS/UDF/exFAT/ReFS/ext2/ext3","Formateaza USB, card flash si drive-uri virtuale la FAT/FAT32/NTFS/UDF/exFAT/ReFS/ext2/ext3","?????????????? USB, ?????? ? ??????????? ?????? ? FAT/FAT32/NTFS/UDF/exFAT/ReFS/ext2/ext3","Formatiraj USB, flash kartice, i virtualne diskove u FAT/FAT32/NTFS/UDF/exFAT/ReFS/ext2/ext3","Naformátujte USB, kartu a virtuálne disky do FAT/FAT32/NTFS/UDF/exFAT/ReFS/ext2/ext3","Formatiranje USB, bliskavice in virtualnih pogonov na FAT/FAT32/NTFS/UDF/exFAT/ReFS/ext2/ext3","Formatee USB, tarjetas flash y unidades virtuales a FAT/FAT32/NTFS/UDF/exFAT/ReFS/ext2/ext3","Formatera USB-enheter, flash-kort och virtuella enheter till FAT/FAT32/NTFS/UDF/exFAT/ReFS/ext2/ext3","??????? USB, ????????? ??????????????? ?????????????????? FAT/FAT32/NTFS/UDF/exFAT/ReFS/ext2/ext3","USB, flash kart ve sanal sürücüleri FAT/FAT32/NTFS/UDF/exFAT/ReFS/ext2/ext3 olarak biçimlendirin","???????????? USB-?????????????, ??????, ?????? ???'??? ? FAT/FAT32/NTFS/UDF/exFAT/ReFS/ext2/ext3","Ð?nh d?ng USB, th? nh? ho?c ? nh? ?o v?i FAT/FAT32/NTFS/UDF/exFAT/ReFS/ext2/ext3"
"Feature2","701","Text","","Create FreeDOS bootable USB drives","????? ?????? ????? USB ????? ??????? ?? FreeDOS","????????? ?? FreeDOS ????????? USB ??????????","?? FreeDOS ??????","?? FreeDOS  ??????","Stvaranje FreeDOS USB pogona za pokretanje","Vytvorení bootovacích disku USB se systémem FreeDOS","Lav FreeDOS opstartsbare USB drev","FreeDOS opstartbare USB-schijven aanmaken","Luo boottaavia FreeDOS USB-asemia","Créez des disques amorçable FreeDOS","FreeDOS-bootfähige USB-Laufwerke erstellen","??µ??????ste µ???de? USB µe d??at?t?ta e?????s?? FreeDOS","????? ????? USB ??????? ?????? ?? FreeDOS","Bootolható FreeDOS USB meghajtó készítése","Buat perangkat USB FreeDOS yang dapat di boot","Crea unità USB avviabili FreeDOS","FreeDOS????????????????","FreeDOS ?? ??? USB ???? ???","Izveido FreeDOS ielades USB ierices","Sukurkite FreeDOS ikrovos USB diskus","Buat pemacu USB boleh boot FreeDOS","Lag FreeDos oppstartbar USB stick","???????? USB ???? ??? FreeDOS ?? ????? ????","Stwórz nosnik rozruchowy USB FreeDOS","Criar discos USB inicializáveis FreeDOS","Criar unidades USB inicializáveis FreeDOS","Creaza drive USB bootabil FreeDOS","???????? ??????????? USB-?????? FreeDOS","Kreiraj FreeDOS butabilni USB disk","Vytvorte bootovacie usb zariadenia FreeDOS","Ustvarite FreeDOS zagonske USB pogone","Crear unidades USB de arranque FreeDOS","Skapa FreeDOS startbara USB-enheter","????? USB ?????????????????? FreeDOS","FreeDOS önyüklenebilir USB sürücüleri olusturun","????????? ???????????????? ????????? FreeDOS","T?o USB có th? kh?i d?ng v?i FreeDOS"
"Feature3","702","Text","","Create bootable drives from bootable ISOs (Windows, Linux, etc.)","????? ?????? ????? ????? ??????? ?? ????? ISO ??????? ??????? (Windows ? Linux ??? ??? ???)","????????? ?? ?????????? ?????????? ?? ISO ?????? (Windows, Linux ? ??.)","???? ISO ?? (Windows ? Linux ?) ????????","???? ISO ?? (Windows ? Linux ?) ????????","Stvaranje pogona za pokretanje iz ISO-ova za pokretanje (Windows, Linux itd.)","Vytvárení bootovacích jednotek ze zavádecích ISO (Windows, Linux atd.)","Lav opstartsbarer drev fra opstartsbarer ISOer (Window, Linux, osv.)","Opstartbare schijven aanmaken via opstartbare ISO's (Windows, Linux, enz)","Luo käynnistysasemia boottaavista ISO-kuvista (Windows, Linux jne.)","Créez des disques amorçables à partir d'images ISOs (Windows, Linux, etc.)","Erstellen bootfähiger Laufwerke aus bootfähigen ISOs (Windows, Linux etc.)","??µ??????ste e?????s?µe? µ???de? ap? ISO µe d??at?t?ta e?????s?? (Windows, Linux, ?.?p.)","????? ?????? ??????? ?????? ?????? ISO ??????? ?????? (Windows?, Linux ???')","Bootolható meghajtók készítése bootolható ISO képfájlokból (Windows, Linux, stb.)","Buat perangkat yang dapat di boot dari ISO (Windows, Linux, dll.)","Crea unità avviabili da ISO avviabili (Windows, Linux, ecc.)","Windows?Linux???ISO?????????????????????","?? ??? ISO (Windows, Linux ?)?? ?? ??? ???? ???","Izveido ielades ierices no ISO failiem (Windows, Linux, u.c.)","Sukurkite ikrovos diskus iš ikrovos ISO (Windows, Linux ir kt.)","Buat pemacu boleh boot daripada ISO boleh boot (Windows, Linux, dll.)","Lag oppstartabar enhet/disk fra ISOer (Windows, Linux, etc.)","????? ???????? ???? ??? ?? ISO??? ???? ??? (??????? ?????? ? ????)","Twórz dyski rozruchowe z obrazów ISO (Windows, Linux itp.)","Criar discos inicializáveis a partir de ISOs inicializáveis (Windows, Linux, etc.)","Criar unidades inicializáveis a partir de ISOs inicializáveis (Windows, Linux, etc.)","Creaza drive-uri bootabile de la ISO-uri bootabile (Windows, Linux, etc.)","???????? ??????????? ?????? ?? ??????????? ??????? ISO (Windows, Linux ? ?.?.)","Kreirajte disk jedinice za pokretanje sistema od ISO-a koji se mogu pokretanja sistema (Windows, Linux itd.)","Vytvorte bootovacie jednotky z ISO súborov (Windows, Linux atd.)","Ustvarite zagonske pogone iz zagonskih ISO-jev (Windows, Linux itd.)","Cree unidades de arranque desde ISO de arranque (Windows, Linux, etc.)","Skapa startbara enheter från startbara ISO-filer (Windows, Linux, etc.)","????? USB ??????????????? ISO ????????? (???? ??????????? Windows ???? Linux ???????)","Önyüklenebilir ISO'lardan önyüklenebilir sürücüler olusturun (Windows, Linux, vb.)","????????? ???????????????? ????????? ? ???????????????? ??????? (Windows, Linux, ????)","T?o ? dia có th? kh?i d?ng t? các file ISO có th? kh?i d?ng (Windows, Linux, v.v...)"
"Feature4","703","Text","","Create bootable drives from bootable disk images, including compressed ones","????? ?????? ????? ????? ??????? ?? ??? ??????? ??????? ??????? ? ??? ?? ??? ??????? ????????","????????? ?? ?????????? ?????????? ?? ??????, ??????????? ???????????? ??????","???????? (??????) ????????","????????? (???????) ????????","Stvaranje pogona za pokretanje iz slika diska za pokretanje, ukljucujuci komprimirane","Vytvárení zavádecích jednotek ze zavádecích obrazu disku, vcetne komprimovaných","Lav opstartsbarer drev fra opstartsbarer disk billeder, inklusiv komprimerede billeder","Opstartbare schijven aanmaken van opstartbare schijf-images, inclusief gecomprimeerde images","Luo käynnistysasemia boottaavista levykuvista, pakatut kuvat mukaanlukien","Créez des disques amorçables à partir d'images disque, y compris à partir d'images compressées","Erstellen bootfähiger Laufwerke aus bootfähigen Festplatten-Images, einschließlich komprimierter Images","??µ??????ste µ???de? e?????s?? ap? e????e? d?s??? µe d??at?t?ta e?????s??, s?µpe???aµßa??µ???? s?µp?esµ????","????? ?????? ??????? ?????? ?????? ????? ???? ??????? ??????, ???? ????? ??????","Bootolható meghajtók készítése bootolható lemez képfájlokból, beleértve a tömörítetteket is","Buat perangkat yang dapat di boot dari Disk Image, termasuk yang Disk Image yang terkompresi","Crea unità avviabili da immagini disco avviabili, incluse quelle compresse","???????????????????????????????????","??? ???? ???? ?? ??? ??? ????? ?? ??? ???? ???","Izveido ielades ierices no ielades disku virtualajiem atteliem, tai skaita ari no saspiestajiem","Sukurkite ikrovos diskus iš ikrovos disko vaizdu, iskaitant suspaustus","Buat pemacu boleh boot daripada imej cakera boleh boot, termasuk yang dimampatkan","Lag oppstartbare disker fra images, inkludert komprimerte sådan","???????? ???? ??? ?? ?? ?????? ???? ???? ???? ?? ???? ????? ?????? ????? ????","Twórz dyski rozruchowe z obrazów dysków, wlaczajac skompresowane","Criar discos inicializáveis a partir de imagens de disco inicializáveis, inclusive de imagens compactadas","Criar unidades inicializáveis a partir de imagens de disco inicializáveis, inclusive de imagens compactadas","Creaza drive-uri de la imagini de disc bootabile, incluzând cele compresate","???????? ??????????? ?????? ?? ??????? ??????????? ??????, ? ??? ????? ??????","Kreiranje disk jedinica za pokretanje sistema sa slika diska koji se može pokretanja, ukljucujuci kompresovane","Vytvorte bootovacie jednotky z diskových obrazov, vrátane tých komprimovaných","Ustvarite zagonske pogone iz slik diska, ki jih je mogoce zagnati, vkljucno s stisnjenimi","Cree unidades de arranque a partir de imágenes de disco de arranque, incluidas las comprimidas","Skapa startbara enheter från startbara diskavbildningar, inklusive komprimerade","???????????????????????????????????? (?????????????????????????????????)","Sikistirilmis olanlar da dahil olmak üzere önyüklenebilir disk yansisindan önyüklenebilir sürücüler olusturun","????????? ???????????????? ????????? ? ???????????????? ???????, ? ???? ????? ?????????","T?o ? dia có th? kh?i d?ng t? các t?p dia có th? kh?i d?ng, bao g?m c? t?p nén"
"Feature5","704","Text","","Create BIOS or UEFI bootable drives, including UEFI bootable NTFS","????? BIOS ?? ?????? ????? UEFI ????? ??????? ? ??? ?? ??? UEFI NTFS ?????? ???????","????????? ?? BIOS ??? UEFI ?????????? ??????????, ??????????? UEFI ????????? NTFS","?? BIOS ? UEFI ??????,?? UEFI ???? NTFS ???","?? BIOS ? UEFI ??????,?? UEFI ?????  NTFS ???","Stvaranje BIOS ili UEFI pogona za pokretanje, ukljucujuci UEFI NTFS za pokretanje","Vytvorte zavádecí jednotky BIOS nebo UEFI, vcetne zavádecích souboru NTFS UEFI","Lav BIOS eller UEFI opstartsbarer drev, inklusiv UEFI opstartsbarer NTFS","BIOS of UEFI opstartbare schijven aanmaken, inclusief UEFI opstartbare NTFS","Luo BIOS- tai UEFI-boottaavia asemia, mukaanlukien UEFI-boottaavat NTFS-asemat","Créez des disques amorçables BIOS ou UEFI, y compris des disques UEFI amorçables utilisant NTFS","Erstellen von BIOS- oder UEFI-bootfähigen Laufwerken, einschließlich UEFI-bootfähigem NTFS","??µ??????ste µ???de? d?s??? µe d??at?t?ta e?????s?? BIOS ? UEFI, s?µpe???aµßa??µ???? NTFS µe d??at?t?ta e?????s?? UEFI","????? ?????? ??????? ?????? ??????? ??????? ??BIOS ?? UEFI, ????? ?????? ??????? ?????? ??UEFI, ???????? ?????? ?????? NTFS","BIOS-ból vagy UEFI-bol bootolható meghajtók készítése, beleértve az UEFI-bol bootolható NTFS meghajtókat is","Buat perangkat BIOS atau UEFI yang dapat di boot, termasuk perangkat NTFS yang dapat di boot oleh UEFI","Crea unità avviabili BIOS o UEFI, incluso NTFS avviabile UEFI","UEFI:NTFS???BIOS??UEFI?????????????????","UEFI ?? ??? NTFS? ???? BIOS ?? UEFI ?? ?? ???? ???","Izveido BIOS vai UEFI ielades ierices, ieskaitot UEFI ieladi no NTFS","Sukurkite BIOS arba UEFI ikrovos diskus, iskaitant UEFI ikrovos NTFS","Buat pemacu boleh boot BIOS atau UEFI, termasuk NTFS boleh boot UEFI","Lag BIOS eller UEFI oppstartbare disker, inkludert UEFI oppstartbar NTFS","???????? ???? ??? ????? ?? UEFI ?? ???? NTFS ???? ??? UEFI ????? ????","Stwórz dysk rozruchowy BIOS lub UEFI, wlaczajac bootowalny dysk UEFI NTFS","Criar discos inicializáveis ??BIOS ou UEFI, inclusive discos UEFI inicializáveis ??usando NTFS","Criar discos inicializáveis ??BIOS ou UEFI, inclusive discos UEFI inicializáveis ??usando NTFS","Creaza discuri bootabile BIOS sau UEFI, incluzând NTFS-uri bootabile de UEFI","???????? ??????????? ?????? BIOS ??? UEFI, ??????? ??????????? UEFI NTFS","Kreiranje BIOS ili UEFI disk jedinica za pokretanje sistema, ukljucujuci NTFS sa UEFI pokretanjem sistema","Vytvorte bootovacie jednotky systému BIOS alebo UEFI vrátane UEFI bootovatelnej jednotky NTFS","Ustvarite zagonske pogone BIOS ali UEFI, vkljucno z UEFI bootable NTFS","Cree unidades de arranque BIOS o UEFI, incluido NTFS de arranque UEFI","Skapa BIOS- eller UEFI-startbara enheter, inklusive UEFI-startbar NTFS","??????????????????????? BIOS ???? UEFI ??? UEFI bootable NTFS","UEFI önyüklenebilir NTFS dahil BIOS ya da UEFI önyüklenebilir sürücüler olusturun","????????? ???????????????? ????????? BIOS ?? UEFI, ????????? ???????????????? UEFI NTFS","T?o ? dia có th? kh?i d?ng v?i h? th?ng BIOS ho?c UEFI, bao g?m c? NTFS có th? kh?i d?ng v?i UEFI"
"Feature6","705","Text","","Create 'Windows To Go' drives","????? ?????? ????? ""Windows To Go\","????????? ?? 'Windows To Go' ??????????","?? 'Windows To Go' ???","?? 'Windows To Go' ???","Stvaranje pogona ""Windows To Go\","Vytvorení jednotek ""Windows To Go","Lav 'Windows To Go' drev","'Windows To Go'-schijven aanmaken","Luo 'Windows To Go' -asemia","Créez des disques 'Windows To Go'","Erstellen von 'Windows To Go'-Laufwerken","??µ??????ste µ???de? d?s??? ""Windows To Go\","????? ????? Windows To Go","'Windows To Go' meghajtók készítése","Buat perangkat Windows To Go","Crea unità 'Windows To Go'","Windows To Go???????????","'Windows To Go' ???? ???","Izveido 'Windows To Go' ierices","Sukurkite ""Windows To Go"" diskus","Buat pemacu 'Windows To Go'","Lag 'Windows To Go' disker","???????? ""Windows To Go"" ?? ????? ????","Stwórz dysk 'Windows To Go'","Criar discos 'Windows To Go'","Criar discos 'Windows To Go'","Creaza discuri 'Windows To Go'","???????? ?????? Windows To Go","Kreiranje disk jedinica ""Windows to Go\","Vytvorte jednotky „Windows To Go\","Ustvarjanje pogonov »Windows To Go'","Cree unidades 'Windows To Go'","Skapa ""Windows To Go""-enheter","????????????? 'Windows To Go'","'Windows To Go' sürücüleri olusturun","????????? ????????? 'Windows To Go'","T?o ? dia 'Windows To Go'"
